Chapter,Verse,Shloka,EngMeaning,Yoga_Type
4,10,"वीतरागभयक्रोधा मन्मया मामुपाश्रिताः |
बहवो ज्ञानतपसा पूता मद्भावमागताः ||४-१०||","4.10 Freed from attachment, fear and anger, absorbed in Me, taking refuge in Me, purified by the fire of knowledge, many have attained to My Being.",Bhakti Yoga
4,11,"ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम् |
मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ||४-११||","4.11 In whatever way men approach Me even so do I reward them; My path do men tread in all ways, O Arjuna.",Bhakti Yoga
4,12,"काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः |
क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा ||४-१२||",4.12 Those who long for success in action in this world sacrifice to the gods; because success is ickly attained by men through action.,Bhakti Yoga
4,13,"चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः |
तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ||४-१३||",4.13 The fourfold caste has been created by Me according to the differentiation of Guna and Karma; though I am the author thereof know Me as non-doer and immutable.,Jnana Yoga
4,14,"न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा |
इति मां योऽभिजानाति कर्मभिर्न स बध्यते ||४-१४||","4.14 Actions do not taint Me, nor have I a desire for the fruit of actions. He who knows Me thus is not bound by actions.",Bhakti Yoga
4,15,"एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः |
कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् ||४-१५||","4.15 Having known this, the ancient seekers after freedom also performed action; therefore do thou also perform action, as did the ancients in days of yore.",Bhakti Yoga
4,16,"किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः |
तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात् ||४-१६||","4.16 What is action? What is inaction? As to this even the wise are confused. Therefore I shall teach thee such action (the nature of action and inaction) by knowing which thou shalt be liberated from the evil (of Samsara, the wheel of birth and death).",Karma Yoga
4,17,"कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः |
अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः ||४-१७||","4.17 For verily (the true nature) of action (enjoined by the scriptures) should be known, also (that) 
of forbidden (or unlawful) action, and of inaction; hard to understand is the nature (path) of action.",Bhakti Yoga
4,18,"कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः |
स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् ||४-१८||","4.18 He who seeth inaction in action and action in inaction, he is wise among men; he is a Yogi and performer of all actions.",Bhakti Yoga
4,19,"यस्य सर्वे समारम्भाः कामसङ्कल्पवर्जिताः |
ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः ||४-१९||","4.19 He whose undertakings are all devoid of desires and (selfish) purposes and whose actions have been burnt by the fire of knowledge,  him the wise call a sage.",Bhakti Yoga
4,20,"त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः |
कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः ||४-२०||","4.20 Having abandoned attachment to the fruits of the action, ever content, depending on nothing, he does not do anything though engaged in activity.",Karma Yoga
4,21,"निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः |
शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् ||४-२१||","4.21 Without hope and with the mind and the self controlled, having abandoned all covetousness, doing mere bodily action, he incurs no sin.",Bhakti Yoga
4,22,"यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सरः |
समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते ||४-२२||","4.22 Content with what comes to him without effort, free from the pairs of opposites and envy, even-minded in success and failure, though acting, he is not bound.",Bhakti Yoga
4,23,"गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः |
यज्ञायाचरतः कर्म समग्रं प्रविलीयते ||४-२३||","4.23 To one who is devoid of attchment, who is liberated, whose mind is established in knowledge, who works for the sake of sacrifice (for the sake of God), the whole action is dissolved.",Bhakti Yoga
4,24,"ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम् |
ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना ||४-२४||",4.24 Brahman is the oblation; Brahman is the melted butter (ghee); by Brahman is the oblation poured into the fire of Brahman; Brahman verily shall be reached by him who always sees Brahman in action.,Bhakti Yoga
4,25,"दैवमेवापरे यज्ञं योगिनः पर्युपासते |
ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति ||४-२५||",4.25 Some Yogies perform sacrifice to the gods alone; while others (who have realised the Self) offer the self as sacrifice by the Self in the fire of Brahman alone.,Bhakti Yoga
4,26,"श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति |
शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति ||४-२६||",4.26 Some again offer the organ of hearing and other senses as sacrifice in the fire of restraint; others offer sound and other objects of the senses as sacrifice in the fire of the senses.,Bhakti Yoga
4,27,"सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे |
आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते ||४-२७||",4.27 Others again sacrifice all the functions of the senses and those of the breath (vital energy or Prana) in the fire of the Yoga of self-restraint kindled by knowledge.,Bhakti Yoga
4,28,"द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे |
स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः ||४-२८||","4.28 Others again offer wealth, austerity and Yoga as sacrifice, while the ascetics of self-restraint and rigid vows offer study of scriptures and knowledge as sacrifice.",Bhakti Yoga
4,29,"अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे |
प्राणापानगती रुद्ध्वा प्राणायामपरायणाः ||४-२९||","4.29 Others offer as sacrifice the outgoing breath in the incoming, and the incoming in the outgoing, restraining the course of the outgoing and the incoming breaths, solely absorbed in the restraint of the breath.",Bhakti Yoga
4,30,"अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति |
सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः ||४-३०||","4.30 Others who regulate their diet offer life-breaths in life-breaths. All these are knowers of sacrifice, whose sins are destroyed by sacrifice.",Bhakti Yoga
4,31,"यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् |
नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम ||४-३१||","4.31 Those who eat the remnants of the sacrifice, which are like nectar, go to the eternal Brahman. This world is not for the man who does not perform sacrifice; how then can he have the other, O Arjuna?",Bhakti Yoga
4,32,"एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे |
कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे ||४-३२||","4.32 Thus, manifold sacrifices are spread out before Brahman (literally) at the mouth or face of Brahman). Know them all as born of action and thus knowing, thou shalt be liberated.",Bhakti Yoga
4,33,"श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप |
सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते ||४-३३||",Swami Sivananda did not comment on this sloka,Bhakti Yoga
4,34,"तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया |
उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः ||४-३४||","4.34 Know That by long prostration, by estion and by service; the wise who have realised the Truth will instruct thee in (that) knowledge.",Jnana Yoga
4,35,"यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |
येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि (var अशेषाणि) ||४-३५||","4.35 Knowing ï1thatï1 thou shalt not, O Arjuna, again get deluded like this; and by that thou shalt see all beings in thy Self and also in Me.",Bhakti Yoga
4,36,"अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः |
सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि ||४-३६||","4.36 Even if thou art the most sinful of all sinners, yet thou shalt verily cross all sins by the raft of knowledge.",Bhakti Yoga
4,37,"यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन |
ज्ञानाग्निः सर्वकर्माणि भस्मसात्कुरुते तथा ||४-३७||","4.37 As the blazing fire reduces fuel to ashes, O Arjuna, so does the fire of knowledge reduce all actions to ashes.",Jnana Yoga
4,38,"न हि ज्ञानेन सदृशं पवित्रमिह विद्यते |
तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति ||४-३८||","4.38 Verily, there is no purifier in this world like knowledge. He who is perfected in Yoga finds it in the Self in time.",Jnana Yoga
4,39,"श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः |
ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति ||४-३९||","4.39 The man who is full of faith, who is devoted to it, and who has subdued the senses obtains (this) knowledge; and having obtained the knowledge he attains at once to the supreme peace.",Bhakti Yoga
4,40,"अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति |
नायं लोकोऽस्ति न परो न सुखं संशयात्मनः ||४-४०||","4.40 The ignorant the faithless, the doubting self goes to destruction; there is neither this world nor the other, nor happiness for the doubting.",Bhakti Yoga
4,41,"योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् |
आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय ||४-४१||","4.41 He who has renounced actions by Yoga, whose doubts are rent asunder by knowledge, and who is self-possessed  actions do not bind him, O Arjuna.",Bhakti Yoga
4,42,"तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः |
छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ||४-४२||","4.42 Therefore with the sword of the knowledge (of the Self) cut asunder the doubt of the self born of ignorance, residing in thy heart, and take refuge in Yoga. Arise, O Arjuna.",Jnana Yoga
5,1,"अर्जुन उवाच |
संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि |
यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ||५-१||","5.1 Arjuna said  Renunciation of actions, O Krishna, Thou praisest, and again Yoga. Tell me conclusively that which is the better of the two.",Bhakti Yoga
5,2,"श्रीभगवानुवाच |
संन्यासः कर्मयोगश्च निःश्रेयसकरावुभौ |
तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते ||५-२||","5.2 The Blessed Lord said  Renunciation and the Yoga of action both lead to the highest bliss; but of the two, the Yoga of action is superior to the renunciation of action.",Bhakti Yoga
5,3,"ज्ञेयः स नित्यसंन्यासी यो न द्वेष्टि न काङ्क्षति |
निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ||५-३||","5.3 He should be known as a perpertual Sannyasi who neither hates nor desires; for, free from the pairs of opposites, O mighty-armed Arjuna, he is easily set free from bondage.",Bhakti Yoga
5,4,"साङ्ख्ययोगौ पृथग्बालाः प्रवदन्ति न पण्डिताः |
एकमप्यास्थितः सम्यगुभयोर्विन्दते फलम् ||५-४||","5.4 Children, not the wise, speak of knowledge and the Yoga of action or the performance of action as though they are distinct and different; he who is truly established in one obtains the fruits of both.",Jnana Yoga
5,5,"यत्साङ्ख्यैः प्राप्यते स्थानं तद्योगैरपि गम्यते |
एकं साङ्ख्यं च योगं च यः पश्यति स पश्यति ||५-५||","5.5 That place which is reached by the Sankhyas or the Jnanis is reached by the Yogis (Karma Yogis). He sees, who sees knowledge and the performance of action (Karma Yoga) as one.",Jnana Yoga
5,6,"संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |
योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति ||५-६||","5.6 But renunciation, O mighty-armed Arjuna, is hard to attain without Yoga; the Yoga-harmonised sage ickly goes to Brahman.",Bhakti Yoga
5,7,"योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |
सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ||५-७||","5.7 He who is devoted to the path of action, whose mind is ite pure, who has conered the self, who has subdued his senses and who realises his Self as the Self in all beings, though acting, is not tainted.",Bhakti Yoga
5,8,"नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |
पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् ||५-८||","5.8 ""I do nothing at all,"" thus would the harmonised knower of Truth think  seeing, hearing, touching, smelling, eating, going, sleeping, breathing.",Jnana Yoga
5,9,"प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |
इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ||५-९||","5.9 Speaking, letting go, seizing, opening and closing the eyes  convinced that the senses move among the sense-objects.",Jnana Yoga
5,10,"ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |
लिप्यते न स पापेन पद्मपत्रमिवाम्भसा ||५-१०||","5.10 He who does actions, offering them to Brahman, and abandoning attachment, is not tainted by sin, just as a lotus-leaf is not tainted by water.",Bhakti Yoga
5,11,"कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |
योगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये ||५-११||","5.11 Yogis, having abandoned attachment, perform actions only by the body, mind, intellect, and even by the senses, for the purification of the self.",Jnana Yoga
5,12,"युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |
अयुक्तः कामकारेण फले सक्तो निबध्यते ||५-१२||","5.12 The united one (the well poised or the harmonised) having abandoned the fruit of action attains to the eternal peace: the non-united only (the unsteady or the unbalanced) impelled by desire, attached to the fruit, is bound.",Bhakti Yoga
5,13,"सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |
नवद्वारे पुरे देही नैव कुर्वन्न कारयन् ||५-१३||","5.13 Mentally renouncing all actions and self-controlled, the embodied one rests happily in the nine-gated city, neither acting nor causing others (body and senses) to act.",Jnana Yoga
5,14,"न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |
न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते ||५-१४||","5.14 Neither agency nor actions does the Lord create for the world, nor union with the fruits of actions. But it is Nature that acts.",Karma Yoga
5,15,"नादत्ते कस्यचित्पापं न चैव सुकृतं विभुः |
अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तवः ||५-१५||","5.15 The Lord takes neither the demerit nor even the merit of any; knowledge is enveloped by ignorance, thery beings are deluded.",Jnana Yoga
5,16,"ज्ञानेन तु तदज्ञानं येषां नाशितमात्मनः |
तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् ||५-१६||","5.16 But to those whose ignorance is destroyed by the knowledge of the Self, like the sun, knowledge reveals the Supreme (Brahman).",Jnana Yoga
5,17,"तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः |
गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषाः ||५-१७||","5.17 Their intellect absorbed in That, their self being That, established in That, with That for their supreme goal, they go whence there is no return, their sins dispelled by knowledge.",Jnana Yoga
5,18,"विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |
शुनि चैव श्वपाके च पण्डिताः समदर्शिनः ||५-१८||","5.18 Sages look with an eal eye on a Brahmana endowed with learning and humility, on a cow, on an elephant, and even on a dog and an outcaste.",Bhakti Yoga
5,19,"इहैव तैर्जितः सर्गो येषां साम्ये स्थितं मनः |
निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिताः ||५-१९||",5.19 Even here (in this world) birth (everything) is overcome by those whose minds rest in eality; Brahman is spotless indeed and eal; therefore they are established in Brahman.,Bhakti Yoga
5,20,"न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |
स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थितः ||५-२०||","5.20 Resting in Brahman, with steady intellect and undeluded, the knower of Brahman neither rejoiceth on obtaining what is pleasant nor grieveth on obtaining what is unpleasant.",Bhakti Yoga
5,21,"बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |
स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते ||५-२१||",5.21 With the self unattached to external contacts he finds happiness in the Self; with the self engaged in    the meditation of Brahman he attains to the endless happiness.,Jnana Yoga
5,22,"ये हि संस्पर्शजा भोगा दुःखयोनय एव ते |
आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः ||५-२२||","5.22 The enjoyments that are born of contacts are only generators of pain, for they have a beginning and an end, O Arjuna; the wise man does not rejoice in them.",Bhakti Yoga
5,23,"शक्नोतीहैव यः सोढुं प्राक्शरीरविमोक्षणात् |
कामक्रोधोद्भवं वेगं स युक्तः स सुखी नरः ||५-२३||","5.23 He who is able, while still here (in this world) to withstand, before the liberation from the body, the impulse born out of desire and anger  he is a Yogi, he is a happy man.",Bhakti Yoga
5,24,"योऽन्तःसुखोऽन्तरारामस्तथान्तर्ज्योतिरेव यः |
स योगी ब्रह्मनिर्वाणं ब्रह्मभूतोऽधिगच्छति ||५-२४||","5.24 He who is happy within, who rejoices within, and who is illuminated within, that Yogi attains absolute freedom or Moksha, himself becoming Brahman.",Jnana Yoga
5,25,"लभन्ते ब्रह्मनिर्वाणमृषयः क्षीणकल्मषाः |
छिन्नद्वैधा यतात्मानः सर्वभूतहिते रताः ||५-२५||","5.25 The sages (Rishis) obtain absolute freedom or Moksha  they whose sins have been destroyed, whose dualities (perception of dualities or experience of the pairs of opposites) are torn asunder, who are self-controlled, and intent on the welfare of all beings.",Bhakti Yoga
5,26,"कामक्रोधवियुक्तानां यतीनां यतचेतसाम् |
अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् ||५-२६||","5.26 Absolute freedom (or Brahmic bliss) exists on all sides for those self-controlled ascetics who are free from desire and anger, who have controlled their thoughts and who have realised the Self.",Jnana Yoga
5,27,"स्पर्शान्कृत्वा बहिर्बाह्यांश्चक्षुश्चैवान्तरे भ्रुवोः |
प्राणापानौ समौ कृत्वा नासाभ्यन्तरचारिणौ ||५-२७||","5.27 Shutting out (all) external contacts and fixing the gaze between the eyrow, ealising the outgoing and incoming breaths moving within the nostrils.",Karma Yoga
5,28,"यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः |
विगतेच्छाभयक्रोधो यः सदा मुक्त एव सः ||५-२८||","5.28 With the senses, the mind and the intellect (ever) controlled, having liberation as his supreme goal, free from desire, fear and anger  the sage is verily liberated for ever.",Jnana Yoga
5,29,"भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् |
सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति ||५-२९||","5.29 He who knows Me as the enjoyer of sacrifices and austerities, the great Lord of all the worlds and the friend of all beings, attains to peace.",Bhakti Yoga
6,1,"श्रीभगवानुवाच |
अनाश्रितः कर्मफलं कार्यं कर्म करोति यः |
स संन्यासी च योगी च न निरग्निर्न चाक्रियः ||६-१||",6.1 The Blessed Lord said  He who performs his bounden duty without depending on the fruits of his actions  he is a Sannyasi and a Yogi; not he who is without fire and without action.,Bhakti Yoga
6,2,"यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव |
न ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन ||६-२||","6.2 Do thou, O Arjuna, know Yoga to be that which they call renunciation; no one verily becomes a Yogi who has not renounced thoughts.",Jnana Yoga
6,3,"आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते |
योगारूढस्य तस्यैव शमः कारणमुच्यते ||६-३||","6.3 For a sage who wishes to attain to Yoga, action is said to be the means; for the same sage who has attained to Yoga, inaction (iescence) is said to be the means.",Jnana Yoga
6,4,"यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते |
सर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते ||६-४||","6.4 When a man is not attached to the sense-objects or to actions, having renounced all thoughts, then he is said to have attained to Yoga.",Jnana Yoga
6,5,"उद्धरेदात्मनात्मानं नात्मानमवसादयेत् |
आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मनः ||६-५||","6.5 One should raise oneself by one's Self alone; let not one lower oneself; for the Self alone is the friend of oneself, and the Self alone is the enemy of oneself.",Jnana Yoga
6,6,"बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जितः |
अनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् ||६-६||","6.6 The Self is the friend of the self of him by whom the self has been conered by the Self, but to the unconered self, this Self stands in the position of an enemy, like an (external) foe.",Jnana Yoga
6,7,"जितात्मनः प्रशान्तस्य परमात्मा समाहितः |
शीतोष्णसुखदुःखेषु तथा मानापमानयोः ||६-७||","6.7 The Supreme Self of him who is self-controlled and peaceful is balanced in cold and heat, pleasure and pain, as also in honour and dishonour.",Bhakti Yoga
6,8,"ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रियः |
युक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चनः ||६-८||","6.8 The Yogi who is satisfied with the knowledge and the wisdom (of the Self), who has conered the senses, and to whom a clod of earth, a piece of stone and gold are the same, is said to be harmonied (i.e., is said to have attained Nirvikalpa Samadhi).",Jnana Yoga
6,9,"सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु |
साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते ||६-९||","6.9 He who is of the same mind to the good-hearted, friends, enemies, the indifferent, the neutral, the hateful, the relatives, the righteous and the unrighteous, excels.",Bhakti Yoga
6,10,"योगी युञ्जीत सततमात्मानं रहसि स्थितः |
एकाकी यतचित्तात्मा निराशीरपरिग्रहः ||६-१०||","6.10 Let the Yogi try constantly to keep the mind steady, remaining in solitude, alone, with the mind and the body controlled, and free from hope and covetousness.",Bhakti Yoga
6,11,"शुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मनः |
नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् ||६-११||","6.11 In a clean spot, having established a firm seat of his own, neither too high nor too low, made of a cloth, a skin and Kusa-grass, one over the other.",Bhakti Yoga
6,12,"तत्रैकाग्रं मनः कृत्वा यतचित्तेन्द्रियक्रियः |
उपविश्यासने युञ्ज्याद्योगमात्मविशुद्धये ||६-१२||","6.12 There, having made the mind one-pointed, with the actions of the mind and the senses controlled, let him, seated on the seat, practise Yoga for the purification of the self.",Jnana Yoga
6,13,"समं कायशिरोग्रीवं धारयन्नचलं स्थिरः |
सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् ||६-१३||","6.13 Let him firmly hold his body, head and neck erect and still, gazing at the tip of his nose, without looking around.",Bhakti Yoga
6,14,"प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थितः |
मनः संयम्य मच्चित्तो युक्त आसीत मत्परः ||६-१४||","6.14 Serene-minded, fearless, firm in the vow of a Brahmachari, having controlled the mind, thinking of Me and balanced in mind, let him sit, having Me as his supreme goal.",Bhakti Yoga
6,15,"युञ्जन्नेवं सदात्मानं योगी नियतमानसः |
शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति ||६-१५||","6.15 Thus always keeping the mind balanced, the Yogi, with the mind controlled, attains to the peace abiding in Me, which culminates in liberation.",Jnana Yoga
6,16,"नात्यश्नतस्तु योगोऽस्ति न चैकान्तमनश्नतः |
न चातिस्वप्नशीलस्य जाग्रतो नैव चार्जुन ||६-१६||","6.16 Verily Yoga is not possible for him who eats too much, nor for him who does not eat at all, nor for him who sleeps too much, nor for him who is (always) awake, O Arjuna.",Bhakti Yoga
6,17,"युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु |
युक्तस्वप्नावबोधस्य योगो भवति दुःखहा ||६-१७||","6.17 Yoga becomes the destroyer of pain for him who is moderate in eating and recreation (such 
as walking, etc.), who is moderate in exertion in actions, who is moderate in sleep and wakefulness.",Bhakti Yoga
6,18,"यदा विनियतं चित्तमात्मन्येवावतिष्ठते |
निःस्पृहः सर्वकामेभ्यो युक्त इत्युच्यते तदा ||६-१८||","6.18 When the perfectly controlled mind rests in the Self only, free from longing for all the objects of desires, then it is said, 'He is united'.",Bhakti Yoga
6,19,"यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता |
योगिनो यतचित्तस्य युञ्जतो योगमात्मनः ||६-१९||","6.19 As a lamp placed in a windless spot does not flicker  to such is compared the Yogi of controlled mind, practising Yoga in the Self (or absorbed in the Yoga of the Self).",Jnana Yoga
6,20,"यत्रोपरमते चित्तं निरुद्धं योगसेवया |
यत्र चैवात्मनात्मानं पश्यन्नात्मनि तुष्यति ||६-२०||","6.20 When the mind, restrained by the practice of Yoga attains to quietude and when seeing the Self by the self, he is satisfied in his own Self.",Jnana Yoga
6,21,"सुखमात्यन्तिकं यत्तद् बुद्धिग्राह्यमतीन्द्रियम् |
वेत्ति यत्र न चैवायं स्थितश्चलति तत्त्वतः ||६-२१||","6.21 When he (the Yogi) feels that Infinite Bliss which can be grasped by the (pure) intellect and which transcends the senses, and established wherein he never moves from the Reality.",Jnana Yoga
6,22,"यं लब्ध्वा चापरं लाभं मन्यते नाधिकं ततः |
यस्मिन्स्थितो न दुःखेन गुरुणापि विचाल्यते ||६-२२||","6.22 Which, having obtained, he thinks there is no other gain superior to it; wherein estabished, he is not moved even by heavy sorrow.",Bhakti Yoga
6,23,"तं विद्याद् दुःखसंयोगवियोगं योगसंज्ञितम् |
स निश्चयेन योक्तव्यो योगोऽनिर्विण्णचेतसा ||६-२३||","6.23 Let that be known by the name of Yoga, the severance from union with pain. This Yoga should be practised with determination and with an undesponding mind.",Jnana Yoga
6,24,"सङ्कल्पप्रभवान्कामांस्त्यक्त्वा सर्वानशेषतः |
मनसैवेन्द्रियग्रामं विनियम्य समन्ततः ||६-२४||",6.24 Abandoning without reserve all desires born of Sankalpa (thought and imagination) and completely restraining the whole group of the senses by the mind from all sides.,Bhakti Yoga
6,25,"शनैः शनैरुपरमेद् बुद्ध्या धृतिगृहीतया |
आत्मसंस्थं मनः कृत्वा न किञ्चिदपि चिन्तयेत् ||६-२५||","6.25 Little by little let him attain to ietude by the intellect held firmly; having made the mind establish itself in the Self, let him not think of anything.",Bhakti Yoga
6,26,"यतो यतो निश्चरति मनश्चञ्चलमस्थिरम् |
ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् ||६-२६||","6.26 From whatever cause the restless and unsteady mind wanders away, from that let him restrain it and bring it under the control of the Self alone.",Jnana Yoga
6,27,"प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् |
उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् ||६-२७||","6.27 Supreme Bliss verily comes to this Yogi whose mind is ite peaceful, whose passion is ieted, who has become Brahman and who is free from sin.",Bhakti Yoga
6,28,"युञ्जन्नेवं सदात्मानं योगी विगतकल्मषः |
सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्नुते ||६-२८||","6.28 The Yogi, always engaging the mind thus (in the practice of Yoga), freed from sins, easily enjoys the Infinite Bliss of contact with Brahman (the Eternal).",Bhakti Yoga
6,29,"सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि |
ईक्षते योगयुक्तात्मा सर्वत्र समदर्शनः ||६-२९||",6.29 With the mind harmonised by Yoga he sees the Self abiding in all beings and all beings in the Self; he sees the same everywhere.,Jnana Yoga
